P0;P1;P2;P3;time;P3_2
11455.16308;12322.04029;13065.07789;30897.98042;464;16161.06792
11431.31209;12226.00223;12898.43235;30565.00558;465;15954.93291
11000.73785;11824.3225;12471.42473;29413.73756;466;15353.97101
10324.80963;11097.79003;11760.34466;27606.44286;467;14465.77606
9464.048528;10172.58692;10779.90554;25304.94259;468;13259.78992
8540.402748;9176.390187;9676.094603;22713.8371;469;11902.05064
7539.461291;8100.910536;8542.049229;20051.75875;470;10587.32862
4903.467852;5266.687693;5578.018985;12972.13717;471;6849.288428
-209.6558928;-226.2952493;-239.6067346;-554.645219;472;-293.9619661
-211.8744736;-226.2952493;-239.6067346;-554.645219;473;-295.0712565
-211.8744736;-227.4045398;-240.716025;-554.645219;474;-295.0712565
-211.8744736;-227.4045398;-240.716025;-554.645219;475;-295.0712565
-212.9837641;-227.4045398;-240.716025;-554.645219;476;-296.1805469
-212.9837641;-227.4045398;-241.8253155;-554.645219;477;-296.1805469
-212.9837641;-229.6231207;-241.8253155;-554.645219;478;-296.1805469
-212.9837641;-229.6231207;-242.9346059;-554.645219;479;-297.2898374
-214.0930545;-229.6231207;-242.9346059;-554.645219;480;-298.3991278
5007.244949;5370.46479;5707.740357;12972.13717;481;6979.0098
7780.082396;8301.428124;8822.773851;20051.75875;482;10827.94973
8812.968793;9494.383906;9994.088322;22713.8371;483;12265.47203
9868.92761;10628.07589;11134.17474;25304.94259;484;13664.669
10821.7256;11649.91889;12202.04775;27606.44286;485;14962.69203
11530.18512;12412.59725;13059.69948;29413.73756;486;16001.07323
11981.48219;12898.43235;13570.86248;30565.00558;487;16627.36303
12136.28089;13126.99769;13808.1155;30959.90022;488;16904.10552
12042.6122;12959.56237;13631.99249;30565.00558;489;16688.49305
11589.0126;12471.42473;13118.52695;29413.73756;490;16059.90071
10876.93849;11705.13177;12312.47352;27606.44286;491;15073.1178
10020.75727;10729.29566;11336.61428;25304.94259;492;13917.71842
9040.107164;9676.094603;10175.79902;22713.8371;493;12492.6104
7980.599984;8582.152746;9023.291439;20051.75875;494;11028.46731
5162.910595;5552.074711;5837.461729;12972.13717;495;7160.61972
-220.7487972;-237.3881537;-250.699639;-554.645219;496;-306.1641609
-220.7487972;-237.3881537;-250.699639;-554.645219;497;-306.1641609
-221.8580876;-238.4974442;-250.699639;-554.645219;498;-306.1641609
-221.8580876;-238.4974442;-250.699639;-554.645219;499;-307.2734513
-222.967378;-239.6067346;-251.8089294;-554.645219;500;-307.2734513
